seurat_clusters,organ_custom,time,mouse_id,n_cells
12,RM,D05,m2_RT_D5,203
12,RM,D05,m3_RT_D5,304
12,RM,D08,m1_RT_D8,105
12,RM,D08,m2_RT_D8,122
12,RM,D08,m3_RT_D8,106
12,RM,D14,m1_RT_D14,107
12,RM,D14,m2_RT_D14,79
12,RM,D14,m3_RT_D14,75
12,RM,Naive,m1_RT_Naive,98
12,RM,Naive,m2_RT_Naive,98
12,RM,Naive,m3_RT_Naive,85
13,LNG,D02,m1_Sinus_D2,9
13,LNG,D02,m2_Sinus_D2,1
13,LNG,D02,m3_Sinus_D2,21
13,LNG,D05,m2_Sinus_D5,2
13,LNG,D05,m3_Sinus_D5,6
13,LNG,D08,m1_Sinus_D8,1
13,LNG,D08,m2_Sinus_D8,1
13,LNG,D14,m1_Sinus_D14,2
13,LNG,D14,m2_Sinus_D14,4
13,LNG,D14,m3_Sinus_D14,47
13,LNG,Naive,m1_Sinus_Naive,1
13,LNG,Naive,m2_Sinus_Naive,1
13,LNG,Naive,m3_Sinus_Naive,7
13,OM,D02,m1_ET_D2,148
13,OM,D02,m2_ET_D2,152
13,OM,D02,m3_ET_D2,170
13,OM,D05,m1_ET_D5,10
13,OM,D05,m2_ET_D5,2
13,OM,D05,m3_ET_D5,7
13,OM,D08,m1_ET_D8,158
13,OM,D08,m2_ET_D8,60
13,OM,D08,m3_ET_D8,27
13,OM,D14,m1_ET_D14,411
13,OM,D14,m2_ET_D14,252
13,OM,D14,m3_ET_D14,186
13,OM,Naive,m1_ET_Naive,192
13,OM,Naive,m2_ET_Naive,212
13,OM,Naive,m3_ET_Naive,215
13,RM,D02,m1_RT_D2,55
13,RM,D02,m2_RT_D2,21
13,RM,D02,m3_RT_D2,9
13,RM,D05,m1_RT_D5,7
13,RM,D05,m2_RT_D5,12
13,RM,D05,m3_RT_D5,4
13,RM,D08,m1_RT_D8,8
13,RM,D08,m2_RT_D8,47
13,RM,D08,m3_RT_D8,11
13,RM,D14,m1_RT_D14,49
13,RM,D14,m2_RT_D14,60
13,RM,D14,m3_RT_D14,24
13,RM,Naive,m1_RT_Naive,8
13,RM,Naive,m2_RT_Naive,15
13,RM,Naive,m3_RT_Naive,13
14,LNG,D02,m1_Sinus_D2,16
14,LNG,D02,m2_Sinus_D2,8
14,LNG,D02,m3_Sinus_D2,15
14,LNG,D05,m1_Sinus_D5,20
14,LNG,D05,m2_Sinus_D5,5
14,LNG,D05,m3_Sinus_D5,19
14,LNG,D08,m1_Sinus_D8,8
14,LNG,D08,m2_Sinus_D8,2
14,LNG,D08,m3_Sinus_D8,4
14,LNG,D14,m1_Sinus_D14,7
14,LNG,D14,m2_Sinus_D14,9
14,LNG,D14,m3_Sinus_D14,27
14,LNG,Naive,m1_Sinus_Naive,6
14,LNG,Naive,m2_Sinus_Naive,1
14,LNG,Naive,m3_Sinus_Naive,4
14,OM,D02,m1_ET_D2,135
14,OM,D02,m2_ET_D2,81
14,OM,D02,m3_ET_D2,155
14,OM,D05,m1_ET_D5,22
14,OM,D05,m2_ET_D5,46
14,OM,D05,m3_ET_D5,76
14,OM,D08,m1_ET_D8,85
14,OM,D08,m2_ET_D8,40
14,OM,D08,m3_ET_D8,32
14,OM,D14,m1_ET_D14,268
14,OM,D14,m2_ET_D14,248
14,OM,D14,m3_ET_D14,106
14,OM,Naive,m1_ET_Naive,142
14,OM,Naive,m2_ET_Naive,167
14,OM,Naive,m3_ET_Naive,133
14,RM,D02,m1_RT_D2,38
14,RM,D02,m2_RT_D2,25
14,RM,D02,m3_RT_D2,13
14,RM,D05,m1_RT_D5,14
14,RM,D05,m2_RT_D5,38
14,RM,D05,m3_RT_D5,26
14,RM,D08,m1_RT_D8,25
14,RM,D08,m2_RT_D8,31
14,RM,D08,m3_RT_D8,30
14,RM,D14,m1_RT_D14,22
14,RM,D14,m2_RT_D14,59
14,RM,D14,m3_RT_D14,36
14,RM,Naive,m1_RT_Naive,30
14,RM,Naive,m2_RT_Naive,23
14,RM,Naive,m3_RT_Naive,18
15,LNG,D02,m1_Sinus_D2,27
15,LNG,D02,m2_Sinus_D2,122
15,LNG,D02,m3_Sinus_D2,43
15,LNG,D05,m1_Sinus_D5,19
15,LNG,D05,m2_Sinus_D5,49
15,LNG,D05,m3_Sinus_D5,25
15,LNG,D08,m1_Sinus_D8,20
15,LNG,D08,m2_Sinus_D8,37
15,LNG,D08,m3_Sinus_D8,11
15,LNG,D14,m1_Sinus_D14,8
15,LNG,D14,m2_Sinus_D14,27
15,LNG,D14,m3_Sinus_D14,4
